Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cajal-Retzius Cell Brain Mouse	1/47	0.9925352299777574	0.9999956375987203	0	0	0.19777547966907236	0.0014818863492088046	TMEM200A
Monocyte Peripheral Blood Human	2/68	0.9929257635934199	0.9999956375987203	0	0	0.27551975450709626	0.001956018733903248	CEBPA;CXCR6
Cancer Cell Breast Human	2/69	0.9935441919534075	0.9999956375987203	0	0	0.27139240506329115	0.001757737204005968	C1GALT1C1;B3GNT2
Smooth Muscle Cell Brain Mouse	1/49	0.9939407563122191	0.9999956375987203	0	0	0.18951374831309042	0.001151803045581105	GJC1
FGFR1LowNME5- Epithelial Cell Esophagus Human	1/49	0.9939407563122191	0.9999956375987203	0	0	0.18951374831309042	0.001151803045581105	RPL39L
Migration Phase Fetal Germ Cell Fetal Gonad Human	8/165	0.9940204908158982	0.9999956375987203	0	0	0.4623511562984217	0.0027729316573905207	ARMCX3;TCEAL8;EID1;ARL4D;DPM3;ZFP42;CHST2;TCEAL9
Oligodendrocyte Brain Human	9/180	0.9943001364594471	0.9999956375987203	0	0	0.4774283269148481	0.00272906136220139	ARL4A;GJB1;OMG;OLIG1;GPR62;OLIG2;FGFBP3;PHLDA1;ZNF488
Natural Killer Cell Undefined Human	2/71	0.9946262267545961	0.9999956375987203	0	0	0.26349660612731607	0.001419789250874906	NFIL3;CCR4
Type IC Spiral Ganglion Neuron Brain Mouse	9/182	0.994972699595114	0.9999956375987203	0	0	0.47185605526575497	0.002378144983655453	NEUROD1;SLITRK2;PPP1R3B;DIRAS2;PRR15;THRSP;BHLHE22;DRD1;ELFN2
Fibroblast Skin Mouse	3/90	0.9950178705402981	0.9999956375987203	0	0	0.3133144673863676	0.001564874687238235	ISLR;TWIST2;TMEM119
Granulocyte-monocyte Progenitor Umbilical Cord Blood Human	4/107	0.9950839064933241	0.9999956375987203	0	0	0.35272292452969456	0.001738295199362576	RNASE3;RNASE2;KBTBD11;COMMD5
Stage II Neutrophil Bone Marrow Mouse	3/91	0.9954212021552674	0.9999956375987203	0	0	0.30973680574744406	0.00142147904036467	IER5;JUNB;MPEG1
Beta Cell Pancreatic Islet Human	4/108	0.9954567937700612	0.9999956375987203	0	0	0.3493118640102928	0.001590611817703955	MAFB;TBCC;FFAR1;CDK5R1
Secretory Progenitor Cell Esophagus Human	2/73	0.9955297015059867	0.9999956375987203	0	0	0.2560456409342129	0.0011471664459400859	GPR160;SPRR2A
Epiblast Cell Embryo Human	3/92	0.9957927069267519	0.9999956375987203	0	0	0.3062395409992828	0.0012911575473197909	SOX2;CHST2;TRIM56
Enterocyte Large Intestine Human	1/54	0.9964031314963342	0.9999956375987203	0	0	0.17158735008784662	6.182897564272683E-4	LPAR5
